종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"003470","유안타증권","KOSPI","증권","4230","200","4.96","844293516480"
"003475","유안타증권우","KOSPI","증권","4100","230","5.94","52940069200"
"072130","유엔젤","KOSPI","IT 서비스","5420","190","3.63","69893360680"
"000220","유유제약","KOSPI","제약","4655","50","1.09","79285593905"
"000225","유유제약1우","KOSPI","제약","5160","20","0.39","11697358800"
"000227","유유제약2우B","KOSPI","제약","10450","-130","-1.23","3402102000"
"001200","유진투자증권","KOSPI","증권","3965","205","5.45","384075347370"
"000100","유한양행","KOSPI","제약","109200","2800","2.63","8732553320400"
"000105","유한양행우","KOSPI","제약","96600","1200","1.26","114078804000"
"003460","유화증권","KOSPI","증권","3165","280","9.71","179463143475"
"003465","유화증권우","KOSPI","증권","2780","100","3.73","48584461500"
"008730","율촌화학","KOSPI","화학","29000","-750","-2.52","719200000000"
"008250","이건산업","KOSPI","종이·목재","5750","50","0.88","62977651250"
"025820","이구산업","KOSPI","금속","5610","685","13.91","187609620000"
"214320","이노션","KOSPI","일반서비스","20950","400","1.95","838000000000"
"088260","이리츠코크렙","KOSPI","부동산","4540","10","0.22","287570818600"
"139480","이마트","KOSPI","유통","99300","5000","5.30","2740264826700"
"457190","이수스페셜티케미컬","KOSPI","화학","42350","500","1.19","1279320658000"
"007660","이수페타시스","KOSPI","전기·전자","58800","0","0.00","4316462077200"
"005950","이수화학","KOSPI","화학","6200","20","0.32","163023847800"
"015020","이스타코","KOSPI","부동산","711","-11","-1.52","30467487600"
"093230","이아이디","KOSPI","유통","1392","0","0.00","354103029120"
"074610","이엔플러스","KOSPI","기계·장비","511","0","0.00","37494486519"
"102460","이연제약","KOSPI","제약","12070","110","0.92","224342808770"
"084680","이월드","KOSPI","기타제조","1715","18","1.06","243197620995"
"350520","이지스레지던스리츠","KOSPI","부동산","4130","-10","-0.24","152257414260"
"334890","이지스밸류플러스리츠","KOSPI","부동산","4710","20","0.43","242298738990"
"000760","이화산업","KOSPI","유통","12950","-10","-0.08","36260000000"
"014990","인디에프","KOSPI","섬유·의류","1432","-56","-3.76","107561808840"
"101140","인바이오젠","KOSPI","유통","11050","-220","-1.95","110988586800"
"006490","인스코비","KOSPI","통신","1453","22","1.54","180900063428"
"023800","인지컨트롤스","KOSPI","운송장비·부품","6030","10","0.17","95329457910"
"034590","인천도시가스","KOSPI","전기·가스","26200","200","0.77","114618554800"
"129260","인터지스","KOSPI","운송·창고","3095","35","1.14","92069670030"
"023810","인팩","KOSPI","운송장비·부품","6180","30","0.49","61800000000"
"249420","일동제약","KOSPI","제약","19280","2170","12.68","541045019280"
